ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
159;MINGO SILK SCREEN E ESTAMPARIA;09492188000107;JOSÉ DOMINGOS;;27.122.407-0;PRAÇA DA LARANJA Nº116 SALA 01;CENTRO;SE;7936451692;;;
140;SOBRINHO SPORTES;09492706000192;NEUDO SOBRINHO;;27.122.002-3;TRAVESSA ALVARO DE FREITAS;CENTRO;SE;7936482020;;;
112;COMERCIAL VASCONCELOS;09521183000165;;;271227893;PÇA VENANCIO FONSECA, 7  BOQUIM;CENTRO;SE;;;;
180;SUPERMERCADO UNIBOM;09569327000153;;;;PRAÇA EPITAFIO GOES, 169;;;;;;
229;CONSTRUHIPER ;09588818000141;;;;AV PAULO BARRETO DE MENEZES, 766;CENTRO BOQUIM;SE;;;;
210;KADU BABY ARTIGOS INFANTIS LTDA;10247699000142;;;;AV: LUIZ ALVES DE O. FILHO, ;CENTRO;SE;;;;
109;A&M COMERCIO DE ARTIGOS OPTICA LTDA;10266289000149;;;;RUA  DR LAUDELINO FREIRE;;;;;;
265;ELETRICA ALIANCA;10344401000112;;;271230045;AV CARLOS BURLAMARQUI, 109;ARACAJU;SE;;;;
246;CENTRAL DE LIVROS JURIDICOS DO BRASIL;10396694000181;;;41546199118;RUA JOSE DE GOES PINTO,35;JD UNIVERSITARIO;SP;1935718624;;;
225;CLAUDSON CARDOSO GUIMARAES ME;10556554000123;;;;RUA JOSE DA COSTA 2 A;UMBAUBA - CENTRO;SE;;;;
201;E.C. RODRIGUES PERES LIVROS ME;11025235000154;;;;RUA ANGELO TANTIN, 516;BIRIGUI;SP;;;;
179;CONFECÇÕES ÁGUIA COMÉRCIO E INDUSTRIA LTDA ME;11053265000174;;;;RUA MARIANO SALMERON 710;;;;;;
181;JVC COM VAR. PAPELARIA & EQUIPAMENTOS;11143032000162;;;271258918;RUA EUCLIDES PAES MENDONÇA;;;;;;
228;CONSTRUARTE IND ;11365393000153;;;;RUA ESTANCIA , 793;CENTRO, UMBAUBA;SE;;;;
190;TECHNOTRONIC CURSOS DE INFORMATICA LTDA.;11681159000135;;;;RUA:ROSARIO CARVALHO, 47;CENTRO;SE;;;;
254;TRANSRIO;11726521001208;;;;ROD BR, KM 92, S/N ;PALESTINA;SE;;;;
191;NAR DOCES E DECORAÇÕES LTDA. -ME;11864947000167;;;;TRAVESSA OTONIEL SILVEIRA, 17;CENTRO;SE;;;;
230;COMERCIO DE FRUTAS CLEO E CLEI LTDA ME;11979016000104;;;;AV PAULO BARRETO DE MENEZES, 896;CENTRO BOQUIM;SE;;;;
236;MESSIAS SILVA DE MATOS - ME;12117398000120;;;;AV DEP JOSE CONDE SOBRAL, 335A;CENTRO, ITAPORANGA;SE;;;;
205;ASSOCIAÇAO COMUN. DOS AGRICULTORES DE PEDRINHAS;12296159000184;;;;POV. BUENOS AIRES;.;SE;;;;
199;ANDRADE E ANDRADE ;12357054000198;;;;RUA-GABRIEL J. DE GOIS- 274;CENTRO- PEDRINHAS;SE;;;;
13;GRAFICA E EDITORA J. ANDRADE LTDA;13.007.646/0001-42;;;; LAGARTO, 322;CASA;;;;;
11;PREFEITURA MUNICIPAL DE PEDRINHAS;13.098.736/0001-96;;;; HERIBALDO ALVES DE GOIS, 8;CENTRO;;;;;
44;GS COMERCIO DE LIVROS LTDA;13.946.298/0001-79;;;270648569; MARUIM, 361;CENTRO;;;;;
116;CASA AVILA;13003991000108;;;270625836;RUA CAPELA, 40;CENTRO;SE;;;;
260;SOCIMEL - SOCIEDADE IMPORTADORA MERCANTIL LTDA;13004056000166;;;270000550;AV COELHO E CAMPOS, 387;CENTRO;SE;7932119572;;;
49;JULIO PRADO SUPERMERCADOS;13005053000147;FERNANDO;;27.076.485-2;AV. DR. JOSE DA SILVA R. FILHO, 700;AMERICA;SE;7921063321;7921061033;;
182;CASA SANTA ROSA LTDA;13006366000624;;;;AV. AIRTON TELES, 755;SANTO ANTONIO;SE;;;;
104;OTICA SANTANA LTDA;13007422000211;;;;AV BARAO DE MARUIM, 575;CENTRO;SE;;;;
